date,rv,r_idx_monthly,n_days
2000-01-31,0.07445954259041154,-0.027806829449257053,20
2000-02-29,0.055118671998249116,0.0003438792288266157,20
2000-03-31,0.08364571888027623,0.12932316713168146,23
2000-04-28,0.0905476542680554,-0.00429330420163232,19
2000-05-31,0.07344177603066632,-0.004121597855719639,22
2000-06-30,0.05099184561384561,0.044586310731089984,22
2000-07-31,0.04529913143528429,0.002587471613761272,20
2000-08-31,0.03346836747135936,0.0761254597122123,23
2000-09-29,0.03887113760139329,-0.036268598246238626,20
2000-10-31,0.07723955457098895,0.0297764264350886,22
2000-11-30,0.056255096598044,-0.05883695975670644,21
2000-12-29,0.07538898413119048,0.031189544299208505,20
2001-01-31,0.07676941727644926,0.06638845182647568,21
2001-02-28,0.04839909117526126,-0.07675495514026032,19
2001-03-30,0.08414303310584248,-0.044320081958390434,22
2001-04-30,0.08939928967365307,0.09855516825594646,20
2001-05-31,0.05090663774625817,0.01606024119161087,22
2001-06-29,0.0391391869510515,-0.016129611236299635,21
2001-07-31,0.05388063102919839,0.0008380463877859512,21
2001-08-31,0.046760010791931934,-0.056448486676334286,23
2001-09-28,0.08234704003279467,-0.06684119636437447,15
2001-10-31,0.0578357076478706,0.03354813712623472,23
2001-11-30,0.04767867466821001,0.08655417416602007,21
2001-12-31,0.04281885050496321,0.01586744696789455,20
2002-01-31,0.04670716101996569,-0.006584427362051226,21
2002-02-28,0.05068902955341128,-0.011789701272978625,19
2002-03-28,0.045904754534187915,0.044452234592608164,20
2002-04-30,0.04801269829204199,-0.05301862710434624,22
2002-05-31,0.06557730778012566,0.00043100383018024324,22
2002-06-28,0.06098860133189256,-0.061677777751710794,20
2002-07-31,0.1230563170957823,-0.05508539928338818,22
2002-08-30,0.09769545354618504,0.017149001602963176,22
2002-09-30,0.08547523037330465,-0.10011375215488283,20
2002-10-31,0.10885754119642249,0.10918511537845532,23
2002-11-29,0.06771070994490701,0.06986755776516596,20
2002-12-31,0.05083237560711278,-0.053556388365495255,21
2003-01-31,0.0717217760425779,-0.020069613362475924,21
2003-02-28,0.05012274082079901,-0.011057324056391038,19
2003-03-31,0.07879497854275092,0.01574490791238703,21
2003-04-30,0.05605943141036751,0.08856832992896213,21
2003-05-30,0.047690074906296134,0.05774077096528085,21
2003-06-30,0.045001708852031176,0.01715713483006187,21
2003-07-31,0.045306074555983074,0.02254048625908389,22
2003-08-29,0.031322344659068725,0.023046872918922157,21
2003-09-30,0.043081695253845954,-0.007181858645379791,21
2003-10-31,0.037436245662417926,0.06061754287604981,23
2003-11-28,0.030375676428569292,0.012288604799193248,19
2003-12-31,0.0299828386543762,0.0546826517343757,22
2004-01-30,0.03111444416333572,0.023258556329392333,20
2004-02-27,0.024849263451069595,0.017596877103891906,19
2004-03-31,0.044291821965623375,-0.01233138857696403,23
2004-04-30,0.03502139441137521,-0.011542622068230757,21
2004-05-28,0.031248421418151432,0.016343825913365473,20
2004-06-30,0.027663898202653036,0.021697392627646916,21
2004-07-30,0.027349225238120927,-0.02897600972664205,21
