date,r_idx
2000-01-03,-0.007888496151561402
2000-01-04,-0.037817897665006775
2000-01-05,0.0018669323147829484
2000-01-06,-0.0004716417333902614
2000-01-07,0.033698590932006584
2000-01-10,0.01407480488010943
2000-01-11,-0.0129526506243743
2000-01-12,-0.003314209571574519
2000-01-13,0.013625590864297377
2000-01-14,0.012026665316534122
2000-01-18,-0.005252633861026636
2000-01-19,0.0024017856275621763
2000-01-20,-0.007629476141580475
2000-01-21,-0.002410046953386765
2000-01-24,-0.02642674120201378
2000-01-25,0.007655642238362848
2000-01-26,-0.003634984888649203
2000-01-27,-0.0029217310083536254
2000-01-28,-0.025803633290136237
2000-01-31,0.02575677653906098
2000-02-01,0.012160700517151346
2000-02-02,0.0002785865293126129
2000-02-03,0.01303344292946558
2000-02-04,0.000585245199875038
2000-02-07,0.001279740926740413
2000-02-08,0.012204420950496493
2000-02-09,-0.01964738160300319
2000-02-10,0.004440409108685416
2000-02-11,-0.020110768212728745
2000-02-14,0.0023498914371730935
2000-02-15,0.009896130011711848
2000-02-16,-0.009685428751686691
2000-02-17,0.0005403495212443897
2000-02-18,-0.02931320678509742
2000-02-22,0.005159712759659333
2000-02-23,0.009740873980676742
2000-02-24,-0.004482549237046441
2000-02-25,-0.013607480681607243
2000-02-28,0.011326383225922219
2000-02-29,0.01572447680136161
2000-03-01,0.010923373673696673
2000-03-02,0.002542967896402768
2000-03-03,0.021667322459822135
2000-03-06,-0.011359002686984473
2000-03-07,-0.024415519038934443
2000-03-08,0.009946558197105985
2000-03-09,0.02617462035484946
2000-03-10,-0.0033935206203164125
2000-03-13,-0.006871797123332185
2000-03-14,-0.01716348179206624
2000-03-15,0.026687648891177022
2000-03-16,0.04847395912895755
2000-03-17,0.006640296854214381
2000-03-20,-0.0044505115340111295
2000-03-21,0.02549653219685085
2000-03-22,0.006214973690306389
2000-03-23,0.019336294807223518
2000-03-24,0.000979217873106163
2000-03-27,-0.001341510516586125
2000-03-28,-0.010369541878014208
2000-03-29,0.002484016991486757
2000-03-30,-0.012270012705165206
2000-03-31,0.009131152627249143
2000-04-03,0.005925950458051132
2000-04-04,-0.004752073462025062
2000-04-05,-0.0037615079254474807
2000-04-06,0.009571335732886469
2000-04-07,0.01140154531189459
2000-04-10,-0.0065565991174154495
2000-04-11,-0.0016075900153168302
2000-04-12,-0.01980223002786149
2000-04-13,-0.01620569840794943
2000-04-14,-0.05832436056325385
2000-04-17,0.03632803795519887
2000-04-18,0.03015922716324737
2000-04-19,-0.0074017595723107656
2000-04-20,0.00498993274070691
2000-04-24,-0.0007425737537732198
2000-04-25,0.03580956043899599
2000-04-26,-0.011451328180492912
2000-04-27,0.004180978979708077
2000-04-28,-0.007930086657765295
2000-05-01,0.011491685702654292
2000-05-02,-0.014325003474377906
2000-05-03,-0.019938902216389345
2000-05-04,-0.0037319689124424194
2000-05-05,0.016206999016944085
2000-05-08,-0.004690909491236048
2000-05-09,-0.008150477284872622
2000-05-10,-0.019818054500927648
2000-05-11,0.020433492170891573
2000-05-12,0.009177333119825003
2000-05-15,0.022504749750064945
2000-05-16,0.011118808368644952
2000-05-17,-0.012019735937173462
2000-05-18,-0.0069061749198824
2000-05-19,-0.02109732832963867
2000-05-22,-0.0037597394645538045
2000-05-23,-0.01879217160280794
2000-05-24,0.021103870863001827
2000-05-25,-0.012533080511364895
2000-05-26,-0.0014515994114695568
2000-05-30,0.034059212428311045
2000-05-31,-0.00032601071822111437
2000-06-01,0.021518694155860402
2000-06-02,0.021444599926627943
2000-06-05,-0.006294532343910168
2000-06-06,-0.006343193821543769
2000-06-07,0.011109489850501647
2000-06-08,-0.006578918531762253
2000-06-09,-0.0025437054612137866
2000-06-12,-0.007111121786438946
2000-06-13,0.017153923855393462
2000-06-14,0.0017293655209677807
2000-06-15,0.0068375056238291956
2000-06-16,-0.008823119441928652
2000-06-19,0.01595567057258106
2000-06-20,-0.006100236712584339
2000-06-21,0.002704944868709839
2000-06-22,-0.0174649674857028
2000-06-23,-0.0069063221231854145
2000-06-26,0.010653603388007186
2000-06-27,-0.0026848723098036958
2000-06-28,0.004154737914090819
2000-06-29,-0.007661775511637461
2000-06-30,0.010163168230183926
2000-07-03,0.010804650828469722
2000-07-05,-0.014518192968509905
2000-07-06,0.008221055695305672
2000-07-07,0.01594047065867332
2000-07-10,-0.0017487486054794908
2000-07-11,0.004002849796975323
2000-07-12,0.009480651279816107
2000-07-13,0.0027983560035150716
2000-07-14,0.01019221001640853
2000-07-17,0.0013395470415251169
2000-07-18,-0.010553918192206867
2000-07-19,-0.007086738561394945
2000-07-20,0.011024432989102712
2000-07-21,-0.008839854985268476
2000-07-24,-0.009792789424672026
2000-07-25,0.007954992526021283
2000-07-26,-0.01435283547572066
2000-07-27,-0.0003646030616975634
2000-07-28,-0.019488209355969625
2000-07-31,0.008598986469960365
2000-08-01,0.005889033418362187
2000-08-02,0.0009570009144754643
2000-08-03,0.010720760694704052
2000-08-04,0.00793233550837402
2000-08-07,0.011760364151349793
2000-08-08,0.003421670158339583
2000-08-09,-0.005246589864564381
2000-08-10,-0.008133668650343552
2000-08-11,0.008697059627500817
2000-08-14,0.013884017723232877
2000-08-15,-0.004432274317720226
2000-08-16,-0.0023567786532833392
2000-08-17,0.011181111452797866
2000-08-18,-0.002498249360824247
2000-08-21,0.005632768626894723
2000-08-22,-0.0004679301441143589
2000-08-23,0.0057439700448523
2000-08-24,0.0022504079375740864
2000-08-25,-0.001028036544985789
2000-08-28,0.005679554233927629
2000-08-29,-0.0022971049913878177
2000-08-30,-0.004014579081871788
2000-08-31,0.010649228952530433
2000-09-01,0.0024309657708986524
2000-09-05,-0.008308670917612435
2000-09-06,-0.009071290704474478
2000-09-07,0.007713932097075212
2000-09-08,-0.004399383251481527
2000-09-11,-0.0029796914962804204
2000-09-12,-0.0044236439047515355
2000-09-13,0.0033269618963649604
