date,iv_30d_atm,iv_3m_atm
2006-10-03,10.7656,12.4795
2006-10-04,10.1437,12.1844
2006-10-05,10.3957,12.2255
2006-10-06,9.9,11.9602
2006-10-09,10.2918,11.983
2006-10-10,9.9479,11.8791
2006-10-11,10.5692,12.0643
2006-10-12,9.7959,11.5499
2006-10-13,9.6625,11.2579
2006-10-16,9.8806,11.4044
2006-10-17,10.388,11.8327
2006-10-18,10.0883,11.729
2006-10-19,9.4518,11.5259
2006-10-20,9.1785,11.157
2006-10-23,9.703,10.8816
2006-10-24,9.5914,10.7239
2006-10-25,9.5669,10.5249
2006-10-26,9.3587,10.1344
2006-10-27,9.8316,10.6517
2006-10-30,10.1057,10.7415
2006-10-31,9.9452,10.7185
2006-11-01,10.3704,11.1568
2006-11-02,10.2689,11.1766
2006-11-03,10.0653,11.0804
2006-11-06,9.9875,10.7311
2006-11-07,10.1115,10.8021
2006-11-08,9.8464,10.5456
2006-11-09,10.1767,10.7938
2006-11-10,9.8983,10.689
2006-11-13,9.9676,10.726
2006-11-14,9.5687,10.5433
2006-11-15,9.3259,10.3261
2006-11-16,9.1232,10.2516
2006-11-17,8.7564,10.1771
2006-11-20,8.8418,10.2192
2006-11-21,8.7083,10.4328
2006-11-22,8.8334,10.8091
2006-11-24,9.4344,11.359
2006-11-27,10.8165,12.2919
2006-11-28,10.0533,11.8901
2006-11-29,9.2822,11.1839
2006-11-30,9.4221,11.2811
2006-12-01,9.9543,11.6855
2006-12-04,9.5408,11.3501
2006-12-05,9.5482,11.3938
2006-12-06,10.0629,11.5045
2006-12-07,10.9029,12.2961
2006-12-08,10.4761,12.064
2006-12-11,10.4464,11.972
2006-12-12,9.9866,11.8755
2006-12-13,9.5166,11.6263
2006-12-14,8.9012,11.2556
2006-12-15,9.0816,11.5529
2006-12-18,9.1756,11.6235
2006-12-19,8.7906,11.416
2006-12-20,8.776,11.4103
2006-12-21,8.9306,11.6349
2006-12-22,9.6869,11.858
2006-12-26,9.8026,11.8331
2006-12-27,9.1527,11.5987
2006-12-28,9.3767,11.8462
2006-12-29,10.0707,12.1452
2007-01-03,10.5383,12.2136
2007-01-04,10.1779,11.9454
2007-01-05,10.6961,12.2884
2007-01-08,10.7577,12.2785
2007-01-09,10.7324,12.2429
2007-01-10,10.5662,11.9275
2007-01-11,9.7887,11.4982
2007-01-12,9.4284,11.1914
2007-01-16,9.5639,11.2845
2007-01-17,9.4172,11.1713
2007-01-18,9.387,11.194
2007-01-19,8.9452,10.8686
2007-01-22,9.5043,11.0801
2007-01-23,9.0784,10.5525
2007-01-24,8.6367,10.1458
2007-01-25,9.8625,10.9198
2007-01-26,9.8084,10.9258
2007-01-29,10.2636,11.0897
2007-01-30,9.708,10.7789
2007-01-31,9.2346,10.4402
2007-02-01,9.1094,10.4022
2007-02-02,8.7392,10.344
2007-02-05,9.287,10.645
2007-02-06,9.1426,10.597
2007-02-07,9.1684,10.4734
2007-02-08,9.3502,10.6215
2007-02-09,9.8297,11.0592
2007-02-12,10.2895,11.4064
2007-02-13,9.0688,10.6439
2007-02-14,8.9406,10.4519
2007-02-15,8.715,10.4475
2007-02-16,8.7135,10.3854
2007-02-20,8.9315,10.4718
2007-02-21,8.9073,10.562
2007-02-22,9.0018,10.6256
2007-02-23,9.254,10.957
2007-02-26,9.801,11.2768
2007-02-27,16.0056,15.3595
2007-02-28,13.8021,13.607
2007-03-01,13.7701,13.5237
2007-03-02,16.2117,14.9939
2007-03-05,16.7441,15.7369
2007-03-06,13.536,13.6976
2007-03-07,13.1748,13.4705
2007-03-08,12.5226,12.9861
