date,csi,z_hhi,z_cr_10,z_entropy_concentration,hhi,cr_10,entropy_concentration
2001-12-31,-0.356885221834269,-0.5605684847746553,0.3596381463393551,-0.8697253270675067,0.0102810784527338,0.2527987763089178,0.1467468819109099
2002-01-31,-0.5365881096790758,-0.7586016917418282,0.1725083614308354,-1.0236709987262347,0.0100898439410778,0.2509205079027698,0.1444732281382356
2002-02-28,-0.5102327879825729,-0.6856191057471577,0.11591468300458166,-0.9609939412051426,0.0101349608221018,0.2503757880119936,0.1447605110056733
2002-03-28,-0.8386818956526589,-1.0329996601902962,-0.23466858669542995,-1.2483774400722505,0.0098071156179193,0.2468879795808197,0.1407315720707418
2002-04-30,-1.511043622888083,-1.6013717290591125,-1.3257098723554561,-1.6060492672496802,0.009230591262756,0.2356812774701538,0.135239049587207
2002-05-31,-1.5882263685520688,-1.5819916305275474,-1.679992786569524,-1.5026946885591355,0.0091541436925843,0.2309809264044914,0.1353542354594727
2002-06-28,-1.1007005666732728,-1.1037544790627414,-0.9593679215147576,-1.2389792994423197,0.0095449942971899,0.2379789671597972,0.1379043151111462
2002-07-31,-0.8212634181169728,-0.7881278738798311,-0.78552529684614,-0.8901370836249473,0.0098107998411622,0.2395297860065645,0.1419076666384939
2002-08-30,-0.923622109647813,-0.8846077275693958,-0.944725856430946,-0.9415327449430974,0.0097012070994243,0.2376280407820608,0.1409113413514846
2002-09-30,-0.9435684245673794,-1.0056845334362994,-0.8779022824024811,-0.9471184578633577,0.0095641210544213,0.2380551816506016,0.1404905191281684
2002-10-31,-0.4852413357616813,-0.5273938360857394,-0.43494166432458625,-0.49338850687471825,0.0099833579997887,0.242429139022712,0.1459863034366649
2002-11-29,-0.6069676749302343,-0.684697265557093,-0.39235745883241996,-0.7438483004011897,0.0098310731611317,0.2427873642558247,0.1427192399658837
2002-12-31,-0.923179059545018,-0.8930943365591315,-1.0006078342829474,-0.8758350077929749,0.0096276753631011,0.236542164127891,0.1408470126689927
2003-01-31,-0.9333531121313096,-1.015283505747824,-0.8631821043389064,-0.9215937263071984,0.0094951089667214,0.2376833593100916,0.1400041954081703
