date,csi,rolling_p33,rolling_p67,regime
2001-12-31,-0.356885221834269,,,
2002-01-31,-0.5365881096790758,,,
2002-02-28,-0.5102327879825729,,,
2002-03-28,-0.8386818956526589,,,
2002-04-30,-1.511043622888083,,,
2002-05-31,-1.5882263685520688,,,
2002-06-28,-1.1007005666732728,,,
2002-07-31,-0.8212634181169728,,,
2002-08-30,-0.923622109647813,,,
2002-09-30,-0.9435684245673794,,,
2002-10-31,-0.4852413357616813,,,
2002-11-29,-0.6069676749302343,,,
2002-12-31,-0.923179059545018,,,
2003-01-31,-0.9333531121313096,,,
2003-02-28,-0.783591402772054,,,
2003-03-31,-0.2896958296663398,,,
2003-04-30,0.0533680516445166,,,
2003-05-30,-0.962441252216642,,,
2003-06-30,-0.8322186696190174,,,
2003-07-31,-0.7238022375608196,,,
2003-08-29,-1.0381754262867744,,,
2003-09-30,-0.5659264250040249,,,
2003-10-31,-1.0730940783348322,,,
2003-11-28,-1.3111013010508143,,,
2003-12-31,-1.4458016805755811,,,
2004-01-30,-1.3103856281734327,,,
2004-02-27,-1.511331122060245,,,
2004-03-31,-1.6452098251269895,,,
2004-04-30,-1.3850824644713409,,,
2004-05-28,-1.29065288634182,,,
2004-06-30,-1.3956531187837458,,,
2004-07-30,-1.1200534611853536,,,
2004-08-31,-1.1277704901555403,,,
2004-09-30,-1.3944532912307004,,,
2004-10-29,-1.4208980437798309,,,
2004-11-30,-1.7139399799854578,,,
2004-12-31,-1.8542482484374476,,,
2005-01-31,-1.6525396892215198,,,
2005-02-28,-1.5363003879725383,,,
2005-03-31,-1.6773918145573472,,,
2005-04-29,-1.4530238568269855,,,
2005-05-31,-1.5477906005056334,,,
2005-06-30,-1.7179303245954722,,,
2005-07-29,-2.0178885852725714,,,
2005-08-31,-1.9146714724028129,,,
2005-09-30,-1.821978733832367,,,
2005-10-31,-1.7039823232648796,,,
2005-11-30,-1.64941049152832,,,
2005-12-30,-1.7922148902998931,,,
2006-01-31,-1.9049385566350017,,,
2006-02-28,-1.8650041690357213,,,
2006-03-31,-1.8115163447581932,,,
2006-04-28,-1.8828743883308112,,,
2006-05-31,-1.828895860518837,,,
2006-06-30,-1.813081019892364,,,
2006-07-31,-1.5124154761687836,,,
2006-08-31,-1.4224996291123069,,,
2006-09-29,-1.391653711614887,,,
2006-10-31,-1.4339468780985254,,,
2006-11-30,-1.4293155750002553,-1.5423902006150787,-1.0860691278538992,medium
2006-12-29,-1.3642901137881107,-1.5423902006150787,-1.1097964270939507,medium
2007-01-31,-1.3650953924025948,-1.5423902006150787,-1.1236804648013414,medium
2007-02-28,-1.5638617389766027,-1.5563083038952472,-1.2043252163630915,low
2007-03-30,-1.4959786751967188,-1.5563083038952472,-1.299927275002678,medium
2007-04-30,-1.5290862611775602,-1.5563083038952472,-1.299927275002678,medium
2007-05-31,-1.514049486578312,-1.5423902006150787,-1.299927275002678,medium
2007-06-29,-1.4532302467813778,-1.5423902006150787,-1.3107219944258022,medium
2007-07-31,-1.34012114521944,-1.5423902006150787,-1.3247406278100684,medium
2007-08-31,-1.226124080629603,-1.5423902006150787,-1.3247406278100684,high
2007-09-28,-1.07119340100988,-1.5423902006150787,-1.3247406278100684,high
2007-10-31,-1.0583918691643068,-1.5423902006150787,-1.3247406278100684,high
2007-11-30,-1.1172288623144102,-1.5423902006150787,-1.3247406278100684,high
2007-12-31,-0.9138444905104302,-1.5423902006150787,-1.3247406278100684,high
2008-01-31,-0.9612637383588828,-1.5423902006150787,-1.3247406278100684,high
2008-02-29,-1.0426277544578142,-1.5423902006150787,-1.3247406278100684,high
2008-03-31,-0.788626325476767,-1.5423902006150787,-1.3247406278100684,high
2008-04-30,-0.9345730613366782,-1.5423902006150787,-1.3247406278100684,high
2008-05-30,-1.1636624268102056,-1.5423902006150787,-1.3247406278100684,high
2008-06-30,-0.987568734794151,-1.5423902006150787,-1.3247406278100684,high
2008-07-31,-1.0206285395269428,-1.5423902006150787,-1.3247406278100684,high
2008-08-29,-1.0585721425524308,-1.5423902006150787,-1.3247406278100684,high
2008-09-30,-0.5592270291229887,-1.5423902006150787,-1.3247406278100684,high
2008-10-31,0.0494922837012841,-1.5423902006150787,-1.3247406278100684,high
2008-11-28,0.5943052368147433,-1.5423902006150787,-1.324361321185056,high
2008-12-31,0.4673032131054632,-1.5423902006150787,-1.299927275002678,high
2009-01-30,0.2746327498494431,-1.5423902006150787,-1.256452619314345,high
2009-02-27,0.4470094726193498,-1.5423902006150787,-1.1930194041053224,high
2009-03-31,0.1824534084085368,-1.5329097483788985,-1.144639700383233,high
2009-04-30,-0.3593195812700587,-1.5329097483788985,-1.1236804648013414,high
2009-05-29,-0.4950038167787855,-1.5329097483788985,-1.1185564237837535,high
2009-06-30,-0.4265780481857462,-1.5329097483788985,-1.0928300678230092,high
2009-07-31,-0.6292003126092353,-1.5329097483788985,-1.064504134027432,high
2009-08-31,-0.7758212533618085,-1.5329097483788985,-1.0584765976567252,high
2009-09-30,-0.8989083423863106,-1.5329097483788985,-1.0500368883698656,high
2009-10-30,-0.6399430667958564,-1.5329097483788985,-1.0309681705444522,high
2009-11-30,-0.5833758622877878,-1.5220189771159136,-1.003106843018563,high
2009-12-31,-0.9014880108704648,-1.5132815016858336,-0.9736270866834588,high
2010-01-29,-0.9563540731347,-1.504690179711913,-0.9586616157900659,high
2010-02-26,-1.0356301079647363,-1.4758869138415085,-0.9586616157900659,medium
2010-03-31,-1.08226852770482,-1.4531332435028135,-0.9586616157900659,medium
2010-04-30,-1.1308742484360552,-1.444167063500437,-0.9586616157900659,medium
2010-05-28,-1.196247901730748,-1.4317701656423385,-0.9586616157900659,medium
2010-06-30,-1.0377930555197563,-1.4261120804329195,-0.9586616157900659,medium
2010-07-30,-1.111034531214915,-1.4080020478885196,-0.9586616157900659,medium
2010-08-31,-1.0875792905043316,-1.3791713015851097,-0.9586616157900659,medium
2010-09-30,-1.1769571624437531,-1.3647169114537874,-0.9586616157900659,medium
2010-10-29,-1.126507927239078,-1.3529306985608354,-0.9586616157900659,medium
2010-11-30,-1.1885325145208698,-1.2865425248622162,-0.9586616157900659,medium
2010-12-31,-1.235526663877856,-1.231107449751177,-0.9586616157900659,low
2011-01-31,-1.1319352149622386,-1.212082276547141,-0.9586616157900659,medium
2011-02-28,-1.1876444892894582,-1.1926216697421053,-0.9586616157900659,medium
2011-03-31,-1.27769652348148,-1.1926216697421053,-0.9586616157900659,low
2011-04-29,-1.2955542508304216,-1.1926216697421053,-0.9586616157900659,low
2011-05-31,-1.3609995503136725,-1.1926216697421053,-0.9586616157900659,low
2011-06-30,-1.3490865051460894,-1.1926216697421053,-0.9586616157900659,low
2011-07-29,-1.1163758522161755,-1.1881151426621064,-0.9586616157900659,medium
2011-08-31,-0.945871795546207,-1.1826214456719768,-0.9507984660127987,high
2011-09-30,-0.5679524838613229,-1.1707086366959858,-0.9398834664151567,high
2011-10-31,-0.8480402439998563,-1.148750637241661,-0.9235869187987666,high
2011-11-30,-0.8506354721574768,-1.1314365606949324,-0.9072955563012485,high
2011-12-30,-0.6436209538661044,-1.128822077473476,-0.9001207865738631,high
2012-01-31,-0.7369221443996145,-1.1221467667244842,-0.8733237211650287,high
2012-02-29,-0.5808049734595926,-1.1168279475682399,-0.849260001233938,high
2012-03-30,-0.4668135862118503,-1.1138654313455831,-0.8165508671826189,high
2012-04-30,-0.5211743691156289,-1.1000105680809407,-0.781839637255839,high
2012-05-31,-0.3110111429666852,-1.085083231988561,-0.7552047256118456,high
2012-06-29,-0.2283889980362833,-1.0770632181581983,-0.687472513416854,high
2012-07-31,-0.0686544940479289,-1.065261409534879,-0.641671673718873,high
2012-08-31,-0.0875248459712273,-1.0584874140600125,-0.6342494070769472,high
2012-09-28,-0.0590624182944834,-1.0509827352522552,-0.604913353938868,high
2012-10-31,-0.3591635056913647,-1.040355445956927,-0.5820132912088444,high
2012-11-30,-0.5267668225458659,-1.0367764701688968,-0.5739931539725096,high
2012-12-31,-0.8394536148597398,-1.0367764701688968,-0.5739931539725096,medium
2013-01-31,-1.1677160926665249,-1.040355445956927,-0.5739931539725096,low
2013-02-28,-1.1880868782010283,-1.0488059716470737,-0.5739931539725096,low
2013-03-28,-1.3005256623072174,-1.0711312266831972,-0.5739931539725096,low
2013-04-30,-1.2851674209505706,-1.085083231988561,-0.5739931539725096,low
2013-05-31,-1.3279625243925564,-1.085083231988561,-0.5739931539725096,low
2013-06-28,-1.418451467317242,-1.1000105680809407,-0.5739931539725096,low
2013-07-31,-1.4198981148562424,-1.1138654313455831,-0.5739931539725096,low
2013-08-30,-1.4094792831635188,-1.121745851978314,-0.5739931539725096,low
2013-09-30,-1.5987587382870416,-1.128822077473476,-0.5820132912088444,low
2013-10-31,-1.4659374808329468,-1.1314365606949324,-0.604913353938868,low
2013-11-29,-1.3676611715316394,-1.1508990801455101,-0.6342494070769472,low
2013-12-31,-1.4529553028749842,-1.1726138596484559,-0.641671673718873,low
2014-01-31,-1.5505457638073208,-1.1826214456719768,-0.687472513416854,low
2014-02-28,-1.6129478050845218,-1.1878789554125904,-0.7552047256118456,low
2014-03-31,-1.5362463105349644,-1.1883230654505443,-0.8057284632658361,low
2014-04-30,-1.5945180722027514,-1.1926216697421053,-0.8434893305555946,low
2014-05-30,-1.580941623558724,-1.217065645668715,-0.849260001233938,low
2014-06-30,-1.602494808059436,-1.2578766894677766,-0.8733237211650287,low
2014-07-31,-1.5003240778116436,-1.281656099140098,-0.9001207865738631,low
2014-08-29,-1.4912448997607453,-1.2906724407868917,-0.9223483896680637,low
2014-09-30,-1.437193098709958,-1.2981890989131235,-0.9507984660127987,low
2014-10-31,-1.41837255882625,-1.315067199212447,-0.9936138095048169,low
2014-11-28,-1.3759135301131984,-1.3391582341919288,-1.0366466933155958,low
2014-12-31,-1.5120834508275756,-1.3554004190849085,-1.0586965274467361,low
2015-01-30,-1.5106444016100236,-1.364530209559195,-1.0847645862205904,low
2015-02-27,-1.4635989763808643,-1.3720349215798657,-1.0986032536383057,low
2015-03-31,-1.5512811185845656,-1.393703379229868,-1.1135449520855074,low
2015-04-30,-1.4344459957442135,-1.4141927192647663,-1.1135449520855074,low
2015-05-29,-1.4202146167217229,-1.4184143803264757,-1.1135449520855074,low
2015-06-30,-1.4390224054185066,-1.4192181905129122,-1.1211379274769397,low
2015-07-31,-1.4366044080706086,-1.420065860844947,-1.1290587524689635,low
2015-08-31,-1.4401460539833664,-1.4277572476036429,-1.1487522274832531,low
2015-09-30,-1.338030019951138,-1.4277572476036429,-1.1487522274832531,medium
2015-10-30,-1.2261338662225694,-1.4277572476036429,-1.1770824390793035,medium
2015-11-30,-1.124535665691328,-1.4277572476036429,-1.1487522274832531,high
2015-12-31,-1.100349449863194,-1.4277572476036429,-1.128013453848656,high
2016-01-29,-0.9843251824502912,-1.4277572476036429,-1.120210964549497,high
2016-02-29,-1.1544776674236614,-1.4277572476036429,-1.120210964549497,medium
2016-03-31,-1.1402072851315006,-1.4277572476036429,-1.120210964549497,medium
2016-04-29,-1.3061936166038892,-1.4277572476036429,-1.120210964549497,medium
2016-05-31,-1.1829071106002171,-1.4277572476036429,-1.120210964549497,medium
2016-06-30,-1.2022922796097806,-1.4277572476036429,-1.120210964549497,medium
2016-07-29,-1.1381653981100472,-1.4277572476036429,-1.130941639928126,medium
2016-08-31,-1.1270076084686893,-1.4277572476036429,-1.1322517696001275,high
2016-09-30,-1.0671119443860757,-1.4277572476036429,-1.1322517696001275,high
2016-10-31,-0.9888363520806605,-1.4277572476036429,-1.1322517696001275,high
2016-11-30,-1.1662786454850769,-1.4277572476036429,-1.1391250850101302,medium
2016-12-30,-1.0560594833620491,-1.4277572476036429,-1.1391250850101302,high
2017-01-31,-1.0405239586595605,-1.4277572476036429,-1.1391250850101302,high
2017-02-28,-0.9653069230868696,-1.4277572476036429,-1.1391250850101302,high
2017-03-31,-0.88522336789935,-1.4277572476036429,-1.1391250850101302,high
2017-04-28,-0.8496456521558966,-1.4277572476036429,-1.1391250850101302,high
2017-05-31,-0.7317837464990236,-1.4277572476036429,-1.1391250850101302,high
2017-06-30,-0.8392690030274764,-1.4277572476036429,-1.1391250850101302,high
2017-07-31,-0.770368697115961,-1.4277572476036429,-1.1391250850101302,high
2017-08-31,-0.5583627831625367,-1.4277572476036429,-1.1391250850101302,high
2017-09-29,-0.7479034223771194,-1.4277572476036429,-1.1391250850101302,high
2017-10-31,-0.4245507542618376,-1.4277572476036429,-1.1391250850101302,high
2017-11-30,-0.4908055924549131,-1.4277572476036429,-1.1391250850101302,high
2017-12-29,-0.5014716082347761,-1.4277572476036429,-1.1391250850101302,high
2018-01-31,-0.3649281100572212,-1.4277572476036429,-1.1322517696001275,high
2018-02-28,-0.155153307482802,-1.4277572476036429,-1.1256974787966878,high
2018-03-29,-0.3884055272758885,-1.4277572476036429,-1.1117169713024169,high
2018-04-30,-0.2938084721033578,-1.4277572476036429,-1.0827335719603213,high
