,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9896990458303084,0.9702592725889532,0.9468531267006898,0.9492539839466267,0.9127369505770452,0.8892341025246501,0.8602207174962594,0.9060162305293044
risk_share_top7,0.9896990458303084,1.0,0.9869383079478108,0.9509088613110527,0.9653689400533265,0.9326997572023393,0.9189353715475852,0.8939840233958294,0.8979709527054703
risk_share_top10,0.9702592725889532,0.9869383079478108,1.0,0.9442722310807502,0.9807066793289649,0.9399331063650316,0.9351506272192861,0.915751434756654,0.8778602541471924
n_eff_risk_flipped,0.9468531267006898,0.9509088613110527,0.9442722310807502,1.0,0.9419797512577729,0.9130786712079408,0.9032597177232052,0.8989702277734477,0.923235431872405
risk_entropy,0.9492539839466267,0.9653689400533265,0.9807066793289649,0.9419797512577729,1.0,0.9472353434041128,0.9359449282034864,0.9244556390711154,0.8798561453069993
hhi,0.9127369505770452,0.9326997572023393,0.9399331063650316,0.9130786712079408,0.9472353434041128,1.0,0.9862975394691594,0.9788725457571692,0.9295846432432562
cr_10,0.8892341025246501,0.9189353715475852,0.9351506272192861,0.9032597177232052,0.9359449282034864,0.9862975394691594,1.0,0.9917875361317453,0.8883705468405717
entropy_concentration,0.8602207174962594,0.8939840233958294,0.915751434756654,0.8989702277734477,0.9244556390711154,0.9788725457571692,0.9917875361317453,1.0,0.8857643869868954
csi,0.9060162305293044,0.8979709527054703,0.8778602541471924,0.923235431872405,0.8798561453069993,0.9295846432432562,0.8883705468405717,0.8857643869868954,1.0
