,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9558666017526777,0.9144595910418695,0.9233203505355404,0.8975170399221032,0.7048685491723466,0.7077653359298929,0.6578383641674781,0.5010710808179163
risk_share_top7,0.9558666017526777,1.0,0.9695715676728335,0.9619036027263875,0.9585686465433301,0.8041139240506329,0.8028967867575463,0.7604186952288218,0.5605647517039922
risk_share_top10,0.9144595910418695,0.9695715676728335,1.0,0.9831304771178189,0.9857838364167478,0.8495131450827653,0.856207400194742,0.8154089581304771,0.5729308666017526
n_eff_risk_flipped,0.9233203505355404,0.9619036027263875,0.9831304771178189,1.0,0.9887536514118792,0.8527507302823758,0.8673563777994158,0.822541382667965,0.5972249269717624
risk_entropy,0.8975170399221032,0.9585686465433301,0.9857838364167478,0.9887536514118792,1.0,0.8530915287244402,0.8650438169425512,0.8227848101265823,0.5670399221032132
hhi,0.7048685491723466,0.8041139240506329,0.8495131450827653,0.8527507302823758,0.8530915287244402,1.0,0.9786757546251217,0.9858812074001947,0.8161879259980526
cr_10,0.7077653359298929,0.8028967867575463,0.856207400194742,0.8673563777994158,0.8650438169425512,0.9786757546251217,1.0,0.981840311587147,0.7958373904576436
entropy_concentration,0.6578383641674781,0.7604186952288218,0.8154089581304771,0.822541382667965,0.8227848101265823,0.9858812074001947,0.981840311587147,1.0,0.840968841285297
csi,0.5010710808179163,0.5605647517039922,0.5729308666017526,0.5972249269717624,0.5670399221032132,0.8161879259980526,0.7958373904576436,0.840968841285297,1.0
