,coef,hac_se,t_stat,p_value
const,0.013653027147987747,0.0038851270344989167,3.514177793094645,0.000441117459038044
regime_medium,0.00540364088144132,0.00394348117031919,1.3702717594069158,0.17060208518398823
regime_high,0.004872979718947573,0.002608384081045381,1.8681986883598038,0.06173438155721995
rv_t,0.618573712957033,0.10748331209059094,5.7550674697824356,8.660719740912195e-09
