,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.5031647639387535,0.4447811312810155,0.20180203481568146,0.063859711064541,0.3598756027361438,0.34269894056526756,0.27364973333811,0.328605131705731
risk_share_top7,0.5031647639387535,1.0,0.4377220747076078,0.18831851897902793,0.012944399672321126,0.5227982959879143,0.5094775070882668,0.4752690828151461,0.5036967531903334
risk_share_top10,0.4447811312810155,0.4377220747076078,1.0,0.22230251789600525,0.11144074266909769,0.33325218149130764,0.3579589687049713,0.2898357593113045,0.333214588496531
n_eff_risk_flipped,0.20180203481568146,0.18831851897902793,0.22230251789600525,1.0,0.8995282687346725,0.6021986843797842,0.5612097285312264,0.5135467652730376,0.5718448136409795
risk_entropy,0.063859711064541,0.012944399672321126,0.11144074266909769,0.8995282687346725,1.0,0.5063742273642318,0.5158319249408828,0.4517892615238809,0.5400380512710167
hhi,0.3598756027361438,0.5227982959879143,0.33325218149130764,0.6021986843797842,0.5063742273642318,1.0,0.9070251331117938,0.9570443493606253,0.9513672633437104
cr_10,0.34269894056526756,0.5094775070882668,0.3579589687049713,0.5612097285312264,0.5158319249408828,0.9070251331117938,1.0,0.8508045704312623,0.9301450554114434
entropy_concentration,0.27364973333811,0.4752690828151461,0.2898357593113045,0.5135467652730376,0.4517892615238809,0.9570443493606253,0.8508045704312623,1.0,0.9151278413914857
csi,0.328605131705731,0.5036967531903334,0.333214588496531,0.5718448136409795,0.5400380512710167,0.9513672633437104,0.9301450554114434,0.9151278413914857,1.0
