,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy
risk_share_top5,1.0,0.6723088301523372,0.5472868181018555,0.48103862573357087,0.5663188434558444
risk_share_top7,0.6723088301523372,1.0,0.6270038173543042,0.41414009775556765,0.5511795861310779
risk_share_top10,0.5472868181018555,0.6270038173543042,1.0,0.44322664124067707,0.5695293878303104
n_eff_risk_flipped,0.48103862573357087,0.41414009775556765,0.44322664124067707,1.0,0.7426862686060298
risk_entropy,0.5663188434558444,0.5511795861310779,0.5695293878303104,0.7426862686060298,1.0
