,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.5519396300191983,0.40033305439628836,0.4201797308200024,0.3676727188629631,0.37504784901751853,0.427404024334318,0.3050510957490781,0.3784832439119535
risk_share_top7,0.5519396300191983,1.0,0.41976631591680386,0.2953074281836022,0.24127684033364646,0.32156174551430067,0.3609647877367221,0.24502951563379216,0.32286697100420875
risk_share_top10,0.40033305439628836,0.41976631591680386,1.0,0.3310923709734571,0.29942468917284754,0.21600975772938136,0.3222588001099746,0.2196140197085476,0.2616657267278952
n_eff_risk_flipped,0.4201797308200024,0.2953074281836022,0.3310923709734571,1.0,0.9087543740470703,0.4496498859300027,0.4349355062859316,0.3866319311380203,0.43387772414538406
risk_entropy,0.3676727188629631,0.24127684033364646,0.29942468917284754,0.9087543740470703,1.0,0.34636328612451706,0.34789712687090907,0.2886790684430321,0.33458184807856317
hhi,0.37504784901751853,0.32156174551430067,0.21600975772938136,0.4496498859300027,0.34636328612451706,1.0,0.9066150854440184,0.9158174493369824,0.9754066399417134
cr_10,0.427404024334318,0.3609647877367221,0.3222588001099746,0.4349355062859316,0.34789712687090907,0.9066150854440184,1.0,0.8576401633019457,0.9602586973373006
entropy_concentration,0.3050510957490781,0.24502951563379216,0.2196140197085476,0.3866319311380203,0.2886790684430321,0.9158174493369824,0.8576401633019457,1.0,0.9489618278023935
csi,0.3784832439119535,0.32286697100420875,0.2616657267278952,0.43387772414538406,0.33458184807856317,0.9754066399417134,0.9602586973373006,0.9489618278023935,1.0
