,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy
risk_share_top5,1.0,0.9812735694091627,0.9530134140303632,0.882102287187033,0.8567289940171297
risk_share_top7,0.9812735694091627,1.0,0.9665782886121869,0.8857637298315264,0.8630228070906037
risk_share_top10,0.9530134140303632,0.9665782886121869,1.0,0.9174572106775497,0.8982662169102847
n_eff_risk_flipped,0.882102287187033,0.8857637298315264,0.9174572106775497,1.0,0.9885714682324852
risk_entropy,0.8567289940171297,0.8630228070906037,0.8982662169102847,0.9885714682324852,1.0
