,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy
risk_share_top5,1.0,0.9896990458303084,0.9702592725889532,0.9468531267006898,0.9492539839466267
risk_share_top7,0.9896990458303084,1.0,0.9869383079478108,0.9509088613110527,0.9653689400533265
risk_share_top10,0.9702592725889532,0.9869383079478108,1.0,0.9442722310807502,0.9807066793289649
n_eff_risk_flipped,0.9468531267006898,0.9509088613110527,0.9442722310807502,1.0,0.9419797512577729
risk_entropy,0.9492539839466267,0.9653689400533265,0.9807066793289649,0.9419797512577729,1.0
