model,n,r2,coef_regime_medium,coef_regime_high,coef_rv_t,p_regime_medium,p_regime_high,p_rv_t,coef_risk_share_top5,p_risk_share_top5,coef_risk_share_top7,p_risk_share_top7,coef_risk_share_top10,p_risk_share_top10,coef_n_eff_risk_flipped,p_n_eff_risk_flipped,coef_risk_entropy,p_risk_entropy,coef_risk_zavg,p_risk_zavg
baseline_regime_only,236,0.39912334647571224,0.00540364088144132,0.004872979718947573,0.618573712957033,0.17060208518398823,0.06173438155721995,8.660719740912195e-09,,,,,,,,,,,,
regime_plus_risk_share_top5,236,0.399588687953067,0.005992838674285099,0.005718298062381983,0.615732978109609,0.13762514783579083,0.11974849564084132,2.910123697902816e-09,-0.006314826985222758,0.6526727913818673,,,,,,,,,,
regime_plus_risk_share_top7,236,0.3997830602309992,0.006118056224651165,0.005876431120886686,0.61494644765577,0.12988865516256418,0.11020687960701998,3.0020988449933436e-09,,,-0.006771558167866211,0.5893314019677043,,,,,,,,
regime_plus_risk_share_top10,236,0.3998347352688093,0.006191613134679913,0.005950481726599992,0.6151981784154572,0.1288229665784182,0.10110309017868181,4.429790501016185e-09,,,,,-0.0066634001406794,0.5353536277482189,,,,,,
regime_plus_n_eff_risk_flipped,236,0.3991460457958125,0.005595247408263769,0.0051267428823909885,0.6181673165973933,0.1929256771654414,0.19490925063188647,4.945006358834211e-09,,,,,,,-1.0489752369489003e-05,0.9182434611119804,,,,
regime_plus_risk_entropy,236,0.39932375052507163,0.005825085797690995,0.0054274338001608965,0.6168214858154193,0.15930988182487582,0.12462631016921989,6.040760206995083e-09,,,,,,,,,-0.007025165150400468,0.7215607405158424,,
regime_plus_risk_zavg,236,0.3994869523607748,0.006000169528591516,0.005687638503756708,0.6162064378851063,0.14488593035891603,0.12708504777057833,4.016113132472617e-09,,,,,,,,,,,-0.0006323679346648045,0.6721675463251316
