,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.5803660447229739,0.4735863837060248,0.4644779945876656,0.35293405497792335,0.3792479703745905,0.4350947158524427,0.27408488819256516,0.3878080045577553
risk_share_top7,0.5803660447229739,1.0,0.5030551203532261,0.46338128471727674,0.3886625836775388,0.36959834781370177,0.4225110383136305,0.25737786640079763,0.3728599914542088
risk_share_top10,0.4735863837060248,0.5030551203532261,1.0,0.45752029625409485,0.4092294544936619,0.31975502065232875,0.3894103404073494,0.2954778521578123,0.3511608033043726
n_eff_risk_flipped,0.4644779945876656,0.46338128471727674,0.45752029625409485,1.0,0.8790129611166501,0.455027773821393,0.42475430850306223,0.32450505625979204,0.41308930351801737
risk_entropy,0.35293405497792335,0.3886625836775388,0.4092294544936619,0.8790129611166501,1.0,0.3744765702891326,0.35421592365759863,0.25611024070645205,0.33604899586953424
hhi,0.3792479703745905,0.36959834781370177,0.31975502065232875,0.455027773821393,0.3744765702891326,1.0,0.8929141147984617,0.9078051559606893,0.970417319470161
cr_10,0.4350947158524427,0.4225110383136305,0.3894103404073494,0.42475430850306223,0.35421592365759863,0.8929141147984617,1.0,0.8169847600056972,0.9522717561600912
entropy_concentration,0.27408488819256516,0.25737786640079763,0.2954778521578123,0.32450505625979204,0.25611024070645205,0.9078051559606893,0.8169847600056972,1.0,0.9344110525566158
csi,0.3878080045577553,0.3728599914542088,0.3511608033043726,0.41308930351801737,0.33604899586953424,0.970417319470161,0.9522717561600912,0.9344110525566158,1.0
