,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.6227799227799228,0.536486019052605,0.5165859564164649,0.47435938186543514,0.4153262221058831,0.40849280619256406,0.34451606570250637,0.39957136313068514
risk_share_top7,0.6227799227799228,1.0,0.523938223938224,0.4917834472313891,0.4614231491955463,0.4625309674946479,0.4784886927744071,0.4111683977301411,0.4641936298110632
risk_share_top10,0.536486019052605,0.523938223938224,1.0,0.47594538502528816,0.5012602017444633,0.35638795142427104,0.38222629409070086,0.3169790683107874,0.34765862368767936
n_eff_risk_flipped,0.5165859564164649,0.4917834472313891,0.47594538502528816,1.0,0.8776949900436584,0.5355254424261688,0.5064403040189965,0.46730206512288835,0.5159334187179223
risk_entropy,0.47435938186543514,0.4614231491955463,0.5012602017444633,0.8776949900436584,1.0,0.5372591546925687,0.5256653921302832,0.47892667832135144,0.5128633129843784
hhi,0.4153262221058831,0.4625309674946479,0.35638795142427104,0.5355254424261688,0.5372591546925687,1.0,0.9172698121850664,0.9511625080632344,0.9658852730281302
cr_10,0.40849280619256406,0.4784886927744071,0.38222629409070086,0.5064403040189965,0.5256653921302832,0.9172698121850664,1.0,0.8870983574373404,0.949076818084082
entropy_concentration,0.34451606570250637,0.4111683977301411,0.3169790683107874,0.46730206512288835,0.47892667832135144,0.9511625080632344,0.8870983574373404,1.0,0.9509007450896071
csi,0.39957136313068514,0.4641936298110632,0.34765862368767936,0.5159334187179223,0.5128633129843784,0.9658852730281302,0.949076818084082,0.9509007450896071,1.0
