,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.7344933547465193,0.6037380341177809,0.7586464168742649,0.7397286258045752,0.45990718142616877,0.39447893878273627,0.39430190063101456,0.42328557518430937
risk_share_top7,0.7344933547465193,1.0,0.6988833950859268,0.7017412966780056,0.7317113266480355,0.49402496237939275,0.5249560566016263,0.45922431998381363,0.49872911898228356
risk_share_top10,0.6037380341177809,0.6988833950859268,1.0,0.6787010457896534,0.7263495997673213,0.43239039441571087,0.4438220007840261,0.3945801034408629,0.4299118602916071
n_eff_risk_flipped,0.7586464168742649,0.7017412966780056,0.6787010457896534,1.0,0.9101152012544418,0.6422564776995157,0.6043197309020094,0.5814312270008473,0.6473905840994448
risk_entropy,0.7397286258045752,0.7317113266480355,0.7263495997673213,0.9101152012544418,1.0,0.6358578130730029,0.6392215379557151,0.596049520100153,0.6290544898139835
hhi,0.45990718142616877,0.49402496237939275,0.43239039441571087,0.6422564776995157,0.6358578130730029,1.0,0.9355328216087709,0.9591041869522883,0.9684113354999431
cr_10,0.39447893878273627,0.5249560566016263,0.4438220007840261,0.6043197309020094,0.6392215379557151,0.9355328216087709,1.0,0.9473185042805295,0.9690183234487032
entropy_concentration,0.39430190063101456,0.45922431998381363,0.3945801034408629,0.5814312270008473,0.596049520100153,0.9591041869522883,0.9473185042805295,1.0,0.967424980083208
csi,0.42328557518430937,0.49872911898228356,0.4299118602916071,0.6473905840994448,0.6290544898139835,0.9684113354999431,0.9690183234487032,0.967424980083208,1.0
