,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.5141074335322843,0.508790016277808,0.3002712967986978,0.19880629408572978,0.33837493217580034,0.32684481823114486,0.26770211611502986,0.33688279978296254
risk_share_top7,0.5141074335322843,1.0,0.3336950623982637,0.2984264785675529,0.13233857840477484,0.4665626695604992,0.45211611502984267,0.42991047205642974,0.4516820401519262
risk_share_top10,0.508790016277808,0.3336950623982637,1.0,0.3132257189365166,0.2335729788388497,0.26344275637547476,0.27202930005425935,0.18170103092783504,0.25065111231687465
n_eff_risk_flipped,0.3002712967986978,0.2984264785675529,0.3132257189365166,1.0,0.9120048833423765,0.5487384698860553,0.488903960933261,0.4719886055344547,0.521961475854585
risk_entropy,0.19880629408572978,0.13233857840477484,0.2335729788388497,0.9120048833423765,1.0,0.48243353228431907,0.4538931090613131,0.4407894736842105,0.4881172002170374
hhi,0.33837493217580034,0.4665626695604992,0.26344275637547476,0.5487384698860553,0.48243353228431907,1.0,0.8884427563754748,0.9489419424850787,0.9691671188279978
cr_10,0.32684481823114486,0.45211611502984267,0.27202930005425935,0.488903960933261,0.4538931090613131,0.8884427563754748,1.0,0.8222870320130222,0.9429055887140532
entropy_concentration,0.26770211611502986,0.42991047205642974,0.18170103092783504,0.4719886055344547,0.4407894736842105,0.9489419424850787,0.8222870320130222,1.0,0.9344004340748779
csi,0.33688279978296254,0.4516820401519262,0.25065111231687465,0.521961475854585,0.4881172002170374,0.9691671188279978,0.9429055887140532,0.9344004340748779,1.0
