,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.7439629041808274,0.6160872859704941,0.7248894919170505,0.6966818926540369,0.4175307348684019,0.3408809887930467,0.3070158985965893,0.33477651061339464
risk_share_top7,0.7439629041808274,1.0,0.7416229009617377,0.6556217290611465,0.7119906266803628,0.4640705707466706,0.47885933654529267,0.37636250953669004,0.38943456777375324
risk_share_top10,0.6160872859704941,0.7416229009617377,1.0,0.6798863288094766,0.7233444005341161,0.32685868078343777,0.37199176420145885,0.27178783533934836,0.31715653610592504
n_eff_risk_flipped,0.7248894919170505,0.6556217290611465,0.6798863288094766,1.0,0.8224443250372256,0.39811872494444284,0.3667742751060579,0.2803634396469226,0.3447204056660044
risk_entropy,0.6966818926540369,0.7119906266803628,0.7233444005341161,0.8224443250372256,1.0,0.5131377789509115,0.5268285524276711,0.46221683358923993,0.46324151361422694
hhi,0.4175307348684019,0.4640705707466706,0.32685868078343777,0.39811872494444284,0.5131377789509115,1.0,0.9232075931283472,0.9544124291808197,0.9436924257903293
cr_10,0.3408809887930467,0.47885933654529267,0.37199176420145885,0.3667742751060579,0.5268285524276711,0.9232075931283472,1.0,0.9457749447866165,0.9400456089091904
entropy_concentration,0.3070158985965893,0.37636250953669004,0.27178783533934836,0.2803634396469226,0.46221683358923993,0.9544124291808197,0.9457749447866165,1.0,0.9591429580276385
csi,0.33477651061339464,0.38943456777375324,0.31715653610592504,0.3447204056660044,0.46324151361422694,0.9436924257903293,0.9400456089091904,0.9591429580276385,1.0
