,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9812735694091627,0.9530134140303632,0.882102287187033,0.8567289940171297,0.835798664612224,0.8433778925304349,0.788248032315829,0.7462499479448632
risk_share_top7,0.9812735694091627,1.0,0.9665782886121869,0.8857637298315264,0.8630228070906037,0.8379831295085532,0.8439109371312761,0.794751454073488,0.7531772141941634
risk_share_top10,0.9530134140303632,0.9665782886121869,1.0,0.9174572106775497,0.8982662169102847,0.8491830813864713,0.8530254445508683,0.8208484293230056,0.7629515493922273
n_eff_risk_flipped,0.882102287187033,0.8857637298315264,0.9174572106775497,1.0,0.9885714682324852,0.9147364621940893,0.8855476431747619,0.9044286196828569,0.8659679710527168
risk_entropy,0.8567289940171297,0.8630228070906037,0.8982662169102847,0.9885714682324852,1.0,0.9261959956875211,0.8959202654117908,0.9214240434579417,0.8638219112795384
hhi,0.835798664612224,0.8379831295085532,0.8491830813864713,0.9147364621940893,0.9261959956875211,1.0,0.98716852445666,0.9896310794615879,0.8180254214152519
cr_10,0.8433778925304349,0.8439109371312761,0.8530254445508683,0.8855476431747619,0.8959202654117908,0.98716852445666,1.0,0.9764868103851154,0.7555055826242267
entropy_concentration,0.788248032315829,0.794751454073488,0.8208484293230056,0.9044286196828569,0.9214240434579417,0.9896310794615879,0.9764868103851154,1.0,0.8008773025722178
csi,0.7462499479448632,0.7531772141941634,0.7629515493922273,0.8659679710527168,0.8638219112795384,0.8180254214152519,0.7555055826242267,0.8008773025722178,1.0
