,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9369539551357733,0.8374401000069449,0.7325508715883048,0.6473227307451906,0.5245989304812835,0.5014306549065908,0.4490659073546774,0.7386346274046809
risk_share_top7,0.9369539551357733,1.0,0.8922841864018335,0.764955899715258,0.6668379748593652,0.49970136815056604,0.48081811236891453,0.4434544065560108,0.7354607958886034
risk_share_top10,0.8374401000069449,0.8922841864018335,1.0,0.8098965205917078,0.7179040211125772,0.49403430793805125,0.48356135842766856,0.47022015417737345,0.7257656781720953
n_eff_risk_flipped,0.7325508715883048,0.764955899715258,0.8098965205917078,1.0,0.9625946246267102,0.7922841864018335,0.7582540454198208,0.7899854156538648,0.8843183554413501
risk_entropy,0.6473227307451906,0.6668379748593652,0.7179040211125772,0.9625946246267102,1.0,0.8674560733384262,0.8472880061115355,0.8708104729495104,0.9023821098687409
hhi,0.5245989304812835,0.49970136815056604,0.49403430793805125,0.7922841864018335,0.8674560733384262,1.0,0.9786860198624905,0.9758038752691159,0.9057642891867491
cr_10,0.5014306549065908,0.48081811236891453,0.48356135842766856,0.7582540454198208,0.8472880061115355,0.9786860198624905,1.0,0.9566219876380304,0.891846656017779
entropy_concentration,0.4490659073546774,0.4434544065560108,0.47022015417737345,0.7899854156538648,0.8708104729495104,0.9758038752691159,0.9566219876380304,1.0,0.8820751441072296
csi,0.7386346274046809,0.7354607958886034,0.7257656781720953,0.8843183554413501,0.9023821098687409,0.9057642891867491,0.891846656017779,0.8820751441072296,1.0
