,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.6723088301523372,0.5472868181018555,0.48103862573357087,0.5663188434558444,0.39628977573420593,0.3550659373388339,0.30118710033366997,0.3307834124971881
risk_share_top7,0.6723088301523372,1.0,0.6270038173543042,0.41414009775556765,0.5511795861310779,0.4444652920049251,0.4664770954538072,0.377260236707466,0.395015884703094
risk_share_top10,0.5472868181018555,0.6270038173543042,1.0,0.44322664124067707,0.5695293878303104,0.31104945504774356,0.36947132445158054,0.2767428199180665,0.30788757796807553
n_eff_risk_flipped,0.48103862573357087,0.41414009775556765,0.44322664124067707,1.0,0.7426862686060298,0.3682952936565475,0.39574752525995677,0.3424010355696233,0.4205103570364516
risk_entropy,0.5663188434558444,0.5511795861310779,0.5695293878303104,0.7426862686060298,1.0,0.5038259037272693,0.5080487422323589,0.4422025518382637,0.43147732890732765
hhi,0.39628977573420593,0.4444652920049251,0.31104945504774356,0.3682952936565475,0.5038259037272693,1.0,0.9047455575292251,0.9268854568962317,0.8657433736693767
cr_10,0.3550659373388339,0.4664770954538072,0.36947132445158054,0.39574752525995677,0.5080487422323589,0.9047455575292251,1.0,0.9165439811943755,0.9093092028407932
entropy_concentration,0.30118710033366997,0.377260236707466,0.2767428199180665,0.3424010355696233,0.4422025518382637,0.9268854568962317,0.9165439811943755,1.0,0.9249326606286065
csi,0.3307834124971881,0.395015884703094,0.30788757796807553,0.4205103570364516,0.43147732890732765,0.8657433736693767,0.9093092028407932,0.9249326606286065,1.0
