,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9630192116179074,0.9267390897845819,0.9416927995165233,0.9167026080441129,0.6531242249954082,0.6356535429781627,0.5837388922249287,0.4221311933468474
risk_share_top7,0.9630192116179074,1.0,0.9743142761252438,0.9643310137561163,0.9580216200605584,0.7595020030295468,0.7504175684775336,0.7022363617479414,0.47149865580803846
risk_share_top10,0.9267390897845819,0.9743142761252438,1.0,0.9607415154865819,0.9859016096145119,0.8246706025758072,0.8292650813731289,0.7910159625136386,0.5203185822246231
n_eff_risk_flipped,0.9416927995165233,0.9643310137561163,0.9607415154865819,1.0,0.9600215085606217,0.7544292363460506,0.752558205092894,0.6988461261185175,0.4202672340720487
risk_entropy,0.9167026080441129,0.9580216200605584,0.9859016096145119,0.9600215085606217,1.0,0.8231854754115097,0.8298661447533601,0.7953808157862403,0.5080058730621032
hhi,0.6531242249954082,0.7595020030295468,0.8246706025758072,0.7544292363460506,0.8231854754115097,1.0,0.9834684865327825,0.9852098302297522,0.7876363198743216
cr_10,0.6356535429781627,0.7504175684775336,0.8292650813731289,0.752558205092894,0.8298661447533601,0.9834684865327825,1.0,0.9918088269702324,0.7554685732789743
entropy_concentration,0.5837388922249287,0.7022363617479414,0.7910159625136386,0.6988461261185175,0.7953808157862403,0.9852098302297522,0.9918088269702324,1.0,0.7703736423216032
csi,0.4221311933468474,0.47149865580803846,0.5203185822246231,0.4202672340720487,0.5080058730621032,0.7876363198743216,0.7554685732789743,0.7703736423216032,1.0
