,coef,hac_se,t_stat,p_value
const,0.016336060313123686,0.004075907532642946,4.007956555022943,6.124638325101429e-05
csi_t,0.00029649137563515944,0.0007146433236084977,0.41488021484349025,0.6782295942556111
rv_t,0.6426992651166605,0.09736511628696626,6.600919195971784,4.086162380873327e-11
