,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9480459709657059,0.9034557121817799,0.5831974542394277,0.5506653692404797,0.6883021249737008,0.781019882179676,0.6597806648432569,0.11674205764780139
risk_share_top7,0.9480459709657059,1.0,0.9389070061014096,0.5906006732589943,0.5798574584472964,0.7480670103092784,0.8477277508941721,0.7153376814643383,0.1435409215232485
risk_share_top10,0.9034557121817799,0.9389070061014096,1.0,0.6712208079107932,0.6446454870608037,0.8052940248264254,0.8890832106038291,0.7772065011571639,0.21913791289711762
n_eff_risk_flipped,0.5831974542394277,0.5906006732589943,0.6712208079107932,1.0,0.973661371765201,0.8648879654954765,0.7557332211235009,0.9097938144329897,0.7013991163475699
risk_entropy,0.5506653692404797,0.5798574584472964,0.6446454870608037,0.973661371765201,1.0,0.8795103092783505,0.7692641489585524,0.9300967809804334,0.7035950978329476
hhi,0.6883021249737008,0.7480670103092784,0.8052940248264254,0.8648879654954765,0.8795103092783505,1.0,0.9199321481169788,0.9840100988849148,0.6455659583420997
cr_10,0.781019882179676,0.8477277508941721,0.8890832106038291,0.7557332211235009,0.7692641489585524,0.9199321481169788,1.0,0.8980643803913317,0.3984325689038502
entropy_concentration,0.6597806648432569,0.7153376814643383,0.7772065011571639,0.9097938144329897,0.9300967809804334,0.9840100988849148,0.8980643803913317,1.0,0.6796496949295182
csi,0.11674205764780139,0.1435409215232485,0.21913791289711762,0.7013991163475699,0.7035950978329476,0.6455659583420997,0.3984325689038502,0.6796496949295182,1.0
