,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9859997785702094,0.9397780181488079,0.8591365181256158,0.852918506129332,0.6875802506869072,0.6637913187323917,0.5700068078086826,0.8532357614282785
risk_share_top7,0.9859997785702094,1.0,0.9537690097779988,0.870876969200199,0.8572549561672288,0.6828350562623294,0.6564599667756487,0.5717337019351137,0.8597370135952046
risk_share_top10,0.9397780181488079,0.9537690097779988,1.0,0.9025599686120844,0.8874782751823536,0.6409509441483155,0.6326839477156234,0.5744019329498081,0.8386115332797119
n_eff_risk_flipped,0.8591365181256158,0.870876969200199,0.9025599686120844,1.0,0.9905125475537171,0.8022562651641875,0.7739015976540924,0.7796641501247915,0.8889638701582477
risk_entropy,0.852918506129332,0.8572549561672288,0.8874782751823536,0.9905125475537171,1.0,0.8180065085639419,0.7957748936042768,0.801483974698039,0.8873046598042739
hhi,0.6875802506869072,0.6828350562623294,0.6409509441483155,0.8022562651641875,0.8180065085639419,1.0,0.977957762430556,0.9656208768463097,0.9341880466439498
cr_10,0.6637913187323917,0.6564599667756487,0.6326839477156234,0.7739015976540924,0.7957748936042768,0.977957762430556,1.0,0.9550427222857966,0.9193894687599448
entropy_concentration,0.5700068078086826,0.5717337019351137,0.5744019329498081,0.7796641501247915,0.801483974698039,0.9656208768463097,0.9550427222857966,1.0,0.8748881233429069
csi,0.8532357614282785,0.8597370135952046,0.8386115332797119,0.8889638701582477,0.8873046598042739,0.9341880466439498,0.9193894687599448,0.8748881233429069,1.0
