,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy
risk_share_top5,1.0,0.6227799227799228,0.536486019052605,0.5165859564164649,0.47435938186543514
risk_share_top7,0.6227799227799228,1.0,0.523938223938224,0.4917834472313891,0.4614231491955463
risk_share_top10,0.536486019052605,0.523938223938224,1.0,0.47594538502528816,0.5012602017444633
n_eff_risk_flipped,0.5165859564164649,0.4917834472313891,0.47594538502528816,1.0,0.8776949900436584
risk_entropy,0.47435938186543514,0.4614231491955463,0.5012602017444633,0.8776949900436584,1.0
