,risk_share_top5,risk_share_top7,risk_share_top10,n_eff_risk_flipped,risk_entropy,hhi,cr_10,entropy_concentration,csi
risk_share_top5,1.0,0.9201744211223419,0.8259416985054105,0.47264300404549037,0.46175492079897024,0.6153848915034839,0.7327360783019643,0.5706507947935129,0.03531078710840646
risk_share_top7,0.9201744211223419,1.0,0.9303922939059882,0.6399502670138794,0.6485374830875528,0.758177880471454,0.8739975516000097,0.7272497543464445,0.1454711519140255
risk_share_top10,0.8259416985054105,0.9303922939059882,1.0,0.7268981339257947,0.7216361970668449,0.8260359073959594,0.9230216847948394,0.8156482224532309,0.2281817509642106
n_eff_risk_flipped,0.47264300404549037,0.6399502670138794,0.7268981339257947,1.0,0.9826662981580986,0.8586625491072698,0.7861397132433344,0.8971324936165166,0.5971948682790271
risk_entropy,0.46175492079897024,0.6485374830875528,0.7216361970668449,0.9826662981580986,1.0,0.8425130911391397,0.7926042615266881,0.8861152635887307,0.557545584597154
hhi,0.6153848915034839,0.758177880471454,0.8260359073959594,0.8586625491072698,0.8425130911391397,1.0,0.9453092861119992,0.98733495959983,0.6636003900843009
cr_10,0.7327360783019643,0.8739975516000097,0.9230216847948394,0.7861397132433344,0.7926042615266881,0.9453092861119992,1.0,0.9251952567456325,0.4187015733377653
entropy_concentration,0.5706507947935129,0.7272497543464445,0.8156482224532309,0.8971324936165166,0.8861152635887307,0.98733495959983,0.9251952567456325,1.0,0.6665435895867616
csi,0.03531078710840646,0.1454711519140255,0.2281817509642106,0.5971948682790271,0.557545584597154,0.6636003900843009,0.4187015733377653,0.6665435895867616,1.0
