date,n_subset_nominal,n_subset_included,n_excluded_insufficient_history,shrinkage_intensity,n_eff_risk,risk_entropy,n_negative_contributions,risk_share_top5,risk_share_top7,risk_share_top10
2000-12-29,100,96,4,0.1592640927236641,42.37867532893404,0.0959193749500471,0,0.19598066481705478,0.2708755394913058,0.3540750432204527
2001-01-31,100,95,5,0.1533856786100168,35.70625832717737,0.12664167298542017,0,0.15047684653054877,0.27349281980691037,0.35178737957004663
2001-02-28,100,96,4,0.149246941182309,39.23964997306419,0.10720117852826583,0,0.19485516599038863,0.2892049997763651,0.38270855006871723
2001-03-30,100,97,3,0.12354601885183976,38.11218119534013,0.11659730106968602,0,0.20228892420191374,0.2821938537825579,0.3449230192005224
2001-04-30,100,98,2,0.11614943005777612,32.00019840223293,0.14631792104925168,1,0.21809546801500806,0.2615299873171819,0.3592092712013113
2001-05-31,100,98,2,0.1191895098665274,32.78065985511642,0.1395614251295253,0,0.2197728115228917,0.2978368200142531,0.3951832463210643
2001-06-29,100,99,1,0.12350298177942236,31.328681431490214,0.14585869321024658,0,0.22608948073531754,0.3044558853548865,0.4066111950501846
2001-07-31,100,100,0,0.11712264444422639,34.02989659860134,0.13571319129929538,0,0.2122353682629993,0.2871765990267819,0.3888955213459205
2001-08-31,100,99,1,0.12273501914166779,34.6683593479073,0.12789744858332763,0,0.2184394985984033,0.30371637966400356,0.39532026164550227
2001-09-28,100,98,2,0.1315822463413286,35.94902411163628,0.11829496970402142,0,0.23330449238753026,0.28938391364261995,0.369774779537347
2001-10-31,100,97,3,0.13543855650068054,33.4269630231071,0.1295910782477211,0,0.2271359338709958,0.2977051758632845,0.346695530234366
2001-11-30,100,98,2,0.13551588500642558,32.76415143013158,0.134877168174656,0,0.22955859338251863,0.2799280873601281,0.3836858986278371
2001-12-31,100,99,1,0.13575449990154503,33.67325898830895,0.12962968876824243,0,0.21915840402034978,0.32668681248824444,0.3862473581347608
2002-01-31,100,99,1,0.1382980421071833,34.83597415145022,0.1222135066970147,0,0.241527037970194,0.3297564660256087,0.3856487877237734
2002-02-28,100,99,1,0.14952619527729163,37.19422531029422,0.11091640734173525,0,0.2262471523861042,0.326977013959068,0.384385654384595
2002-03-28,100,99,1,0.15342736976083438,37.88691414681718,0.10947898725785066,0,0.21835731579140882,0.3253516458145562,0.3811768175382622
2002-04-30,100,99,1,0.18236668439881026,40.8017957745159,0.09913292097489956,0,0.2378635415966569,0.31692802183089946,0.3736685976055956
2002-05-31,100,99,1,0.1765800096675758,39.539397739774245,0.10393981869625868,0,0.2216404039843699,0.27619724064696627,0.37741262404817577
2002-06-28,100,99,1,0.20024589606055002,39.58832741101173,0.10271589121320324,0,0.26009383043748174,0.2983884244350815,0.37475226420541763
2002-07-31,100,99,1,0.2424364098849324,40.50961994683003,0.09825411050827793,0,0.24384891313003174,0.3138265901928413,0.3536086412848955
2002-08-30,100,97,3,0.22666570559177251,41.78269888127456,0.09416351251797273,0,0.242932011629024,0.31413571945261226,0.37949343710450456
2002-09-30,100,98,2,0.20741530672157032,44.519734047450314,0.0883583469225202,0,0.2356563126360807,0.2892280661173799,0.3648664410213591
2002-10-31,100,97,3,0.18627024312184673,43.2526890265967,0.0926732900953654,0,0.22854454998302964,0.2995383146517721,0.35290449949649294
2002-11-29,100,96,4,0.1759740137363811,42.25685657976851,0.09628541936357826,0,0.22378361157154697,0.2928058226651232,0.3726833197116362
2002-12-31,100,96,4,0.1719319728522075,43.81130537321782,0.09068684686080963,0,0.24020879204888373,0.304932033611213,0.38490069568512053
2003-01-31,100,95,5,0.16469216902549452,43.834618486697345,0.09144815265949668,0,0.22175502163010824,0.2931891599008507,0.3738768577553099
2003-02-28,100,95,5,0.1728986117270096,43.192030853198204,0.09263626514014367,0,0.22639456401328056,0.2964976431841189,0.3745974634439083
2003-03-31,100,95,5,0.15643648615130706,42.1653876253255,0.09569172661583691,0,0.23499957827123125,0.3084184907325985,0.38838430210495234
2003-04-30,100,95,5,0.1547231337416853,41.20358121152345,0.0998958907000066,0,0.23772635343967335,0.3102977390260293,0.3923138896442517
2003-05-30,100,96,4,0.16041692647783193,45.027546959447946,0.08883765037752267,0,0.21519138295888401,0.2860589667479868,0.3649383594994325
2003-06-30,100,95,5,0.18249876206559115,44.8760411548268,0.08757950087849897,0,0.217554158968633,0.28859129470018763,0.3788671969613275
2003-07-31,100,99,1,0.19396396636223057,46.1242994159023,0.08810266613565565,0,0.20553030170763922,0.272750296026564,0.3749077767305625
2003-08-29,100,99,1,0.20642518081024785,46.96370090386613,0.08430899239003609,0,0.20161475123995246,0.28007081849021653,0.3681412281583464
2003-09-30,100,99,1,0.2135778569525768,44.44266966004511,0.08909511685033356,0,0.20912246471341592,0.3030163609108193,0.37880971105213246
2003-10-31,100,99,1,0.20847725059540048,46.704227492666746,0.08463569909187851,0,0.2123331027186343,0.29326599102454415,0.3635087513958736
2003-11-28,100,100,0,0.2553096905423685,48.26093943873284,0.08060070556819188,0,0.21377337996558957,0.2880074656106485,0.3728126579135559
2003-12-31,100,100,0,0.28291809453126,50.565636082002555,0.0750731151527293,0,0.19938276183512516,0.27544990994776386,0.36265668540388374
2004-01-30,100,100,0,0.2945763213937164,49.94051566882176,0.07640125651642937,0,0.20426354271695496,0.2770101692442098,0.3674059211969944
2004-02-27,100,100,0,0.3053056815002101,51.66498336686013,0.07149431120774041,0,0.19876991418428433,0.2744457240096438,0.3609927343676665
2004-03-31,100,99,1,0.26281190815646416,51.405568444574975,0.07168395005039008,0,0.19245275095836456,0.2656269074835941,0.3629005396313679
2004-04-30,100,100,0,0.2637906857776327,51.005350023004276,0.07334170640667226,0,0.2081364796530122,0.27060550653585225,0.3613007726764829
2004-05-28,100,100,0,0.2669586648001328,50.43788511465515,0.07414820475849604,0,0.20897565887331804,0.27067824676058183,0.34556739336570014
2004-06-30,100,99,1,0.25364441832523255,49.08232910346332,0.07637733012914716,0,0.21328204766294892,0.27123244672534363,0.34560280178473357
2004-07-30,100,100,0,0.24767832065858672,49.79838425248838,0.07561662930558888,0,0.21367649440977088,0.2710134104739861,0.34174971447258595
2004-08-31,100,100,0,0.25136636142608876,51.12082513679861,0.07296839328163307,0,0.21231998105943845,0.26875073037862074,0.33581565828480914
2004-09-30,100,100,0,0.24251325695868572,52.925190721838746,0.06990440228519812,0,0.20668427678629558,0.26079990996812963,0.30611600418452534
2004-10-29,100,99,1,0.2537405512650135,53.41038752657721,0.06786558942744114,0,0.20162956863115952,0.24672088722218619,0.30563292397480013
2004-11-30,100,100,0,0.26664791312191105,55.125494817239776,0.06573731602416877,0,0.18987902114173547,0.23960735899348712,0.29856753601676883
2004-12-31,100,100,0,0.2677245141828928,55.325786930628205,0.06498596815586999,0,0.18889982184382254,0.24082212019705745,0.3006360069562566
2005-01-31,100,99,1,0.2571426947332577,56.436589428135726,0.060397139485197315,0,0.18826601226860207,0.2377414094793259,0.29858733340096055
2005-02-28,100,99,1,0.25246425280775037,54.98633372667167,0.06299246476630227,0,0.19224836916890314,0.2318202143783236,0.3055484013082193
2005-03-31,100,99,1,0.2627146719693321,55.11016155639012,0.06213392216193814,0,0.19023120399838558,0.24147554900164775,0.30127158401038107
2005-04-29,100,99,1,0.2544765847033369,53.63047788150964,0.0643394542790291,0,0.1972181423580571,0.2495207932319973,0.31774009113165685
2005-05-31,100,99,1,0.2625174673256849,54.28237051683983,0.0637581180253185,0,0.1886650872643091,0.24146828804959353,0.3223719230291701
2005-06-30,100,98,2,0.25907324260922165,54.079377110805346,0.06281001964622057,0,0.2032016714276884,0.2411852996620654,0.3232700570956955
2005-07-29,100,98,2,0.24465451357385232,54.77987445939318,0.06108322333415028,0,0.18848478310649902,0.23684748418397092,0.31553857573167937
2005-08-31,100,98,2,0.23734348685754267,54.09464508965012,0.061004670188386845,0,0.19234245863002644,0.24019908677282795,0.31636425819765224
2005-09-30,100,98,2,0.20633846000308495,53.018266218450044,0.06160473018053336,0,0.19269908689767218,0.24078760576987226,0.3137443412759717
2005-10-31,100,99,1,0.20571531588261288,54.45274732682021,0.0600952182248522,0,0.19207400424951052,0.23385226429181274,0.30109990757574046
2005-11-30,100,99,1,0.20955754294474135,53.841240445084715,0.06143657628531096,0,0.19419988222439516,0.23287063796237528,0.3017788641085426
2005-12-30,100,99,1,0.20429671847623873,55.18209568746927,0.05791611248910855,0,0.18805276055636802,0.22654989521494928,0.2978749072377928
2006-01-31,100,100,0,0.20921399775341898,52.92540770271974,0.06106321300769202,0,0.19570102079327484,0.2307295949489171,0.29968676499226465
2006-02-28,100,99,1,0.19584428484289454,56.05699837244193,0.056113574499401575,0,0.18756018038902933,0.23544708064995426,0.29754071498642765
2006-03-31,100,98,2,0.28395563736112295,55.954921253212824,0.055622544259101736,0,0.1865257061977883,0.23048420987560952,0.2903796943041324
2006-04-28,100,99,1,0.2436903726549438,57.02337549279103,0.05467539318776382,0,0.1852726731778189,0.2244387276181411,0.28786879255573533
2006-05-31,100,99,1,0.24453130727385938,57.61904377520717,0.05389295203107125,0,0.18399920505562598,0.22661683182039927,0.2885563068346264
2006-06-30,100,99,1,0.2344216528248677,57.706775278307184,0.054285241607900936,0,0.18232911005098332,0.22040399016213283,0.28132014330225635
2006-07-31,100,99,1,0.263788709910272,57.23300684053017,0.05511166846979865,0,0.18363287907916837,0.22294108562851683,0.2831662836086804
2006-08-31,100,99,1,0.2555742746796444,57.32919424857131,0.056733848127336395,0,0.18355093797658198,0.22645916481831643,0.2857017001474205
2006-09-29,100,99,1,0.2384561383137769,57.84005277762064,0.05692692494075591,0,0.18300896571083702,0.23063231638688164,0.2816295335117355
2006-10-31,100,99,1,0.2267546664804108,59.021714141050595,0.0559368241785394,0,0.1793690454278024,0.2283198811817809,0.2773081439773539
2006-11-30,100,99,1,0.2316855487803568,58.05789341931351,0.05735807311862273,0,0.17804682826790796,0.2163161257235521,0.27414572690415717
2006-12-29,100,99,1,0.23148066358681152,57.494902676600866,0.05878310304380008,0,0.18424778570205952,0.2235065911610373,0.2767036918861226
2007-01-31,100,98,2,0.22047828807452072,58.771613164545876,0.05677246243568601,0,0.17393096296471217,0.21650309329994108,0.27242492298906523
2007-02-28,100,99,1,0.25910612867344046,59.467125869614996,0.0552739419103222,0,0.17536523317282487,0.2189409429622062,0.2731117433615615
2007-03-30,100,99,1,0.24212067833900877,58.349119538386006,0.05735393564888158,0,0.1804662421918735,0.22515903091819,0.27716600134234115
2007-04-30,100,100,0,0.2624041727722893,59.446214354200684,0.05581629910701724,0,0.17734155371846352,0.21864962790239573,0.27598861002574576
2007-05-31,100,99,1,0.26973665723444307,59.46797386685258,0.05453348264686064,0,0.17712079540440068,0.22027871921551234,0.26541991575771057
2007-06-29,100,99,1,0.27818567079692946,58.24516332794915,0.05597916111504553,0,0.18453346217643976,0.22820983775882145,0.27518356755403184
2007-07-31,100,99,1,0.26460170611946054,54.69297976012257,0.05978693068540619,0,0.1962879292871591,0.23734824908541133,0.2904065701822908
2007-08-31,100,99,1,0.2906164841352569,53.723313469704614,0.06180528933068696,0,0.20023356775818718,0.23743849930354982,0.3088675302813336
2007-09-28,100,99,1,0.3037809606750329,52.821584082019946,0.0629213866795949,0,0.20383810666697783,0.2408401034090597,0.30301992633313396
2007-10-31,100,99,1,0.3147655274990668,53.418383605386495,0.06280228082405759,0,0.20373676716457595,0.23888235278363784,0.2987799974559479
2007-11-30,100,99,1,0.2959050428371609,54.213974675134,0.06188390906798025,0,0.18403086093753945,0.23084555190204264,0.2906598822408299
2007-12-31,100,99,1,0.2766807740620646,52.565803802296934,0.06493448256993295,0,0.19108751972231272,0.2231993920341072,0.28875851255008134
2008-01-31,100,99,1,0.2686929451518378,53.2208132023853,0.06497044428008558,0,0.18610539936261355,0.2188798079515771,0.287040501123562
2008-02-29,100,99,1,0.21419464720327125,54.135299423484284,0.061698922660250566,0,0.18024058092388284,0.22782892895576107,0.2876507190459947
2008-03-31,100,99,1,0.22224789514004653,51.904800865104235,0.06820800443933583,0,0.19069720460338616,0.23679278230987516,0.2919772604685233
2008-04-30,100,99,1,0.20541700966331525,52.51193394042318,0.06787333369571202,0,0.17924548811493374,0.2092767419829692,0.2780448659475481
2008-05-30,100,99,1,0.1817198345719334,54.474125446404706,0.06438452889192736,0,0.18400061160249634,0.22103157716627025,0.2734725196576513
2008-06-30,100,99,1,0.1642555810313228,53.91511355596423,0.06354081801957245,0,0.18856382201553792,0.228161868215594,0.28362024168019706
2008-07-31,100,99,1,0.13968796943374137,53.064279403735256,0.06963758315902968,0,0.17576023111008582,0.21241494945754658,0.2672053082738787
